transaction_id,customer_id,customer_name,amount,currency,payment_method,transaction_date,payment_status,failure_reason,customer_history,retry_count,customer_segment,recovered_after_retry,merchant_category,city,device_type
TXN00347,CUST0064,Deepak Desai,214.5,INR,Credit Card,2026-03-13 10:43:22,Failed,Insufficient Funds,New Customer,1,New,0.0,Ride-Hailing,Mumbai,Mobile App
TXN01498,CUST0398,Pooja Menon,529.69,INR,Credit Card,2026-03-13 15:27:35,Success,,Regular Customer,0,Regular,,Food Delivery,Pune,Desktop Web
TXN00108,CUST0276,Aditya Kulkarni,7231.95,INR,UPI,2026-03-13 18:25:07,Success,,Loyal Customer,0,New,,Travel & Hotels,Ahmedabad,Mobile Web
TXN00016,CUST0032,Priya Patel,471.25,INR,Debit Card,2026-03-14 01:16:08,Success,,New Customer,0,New,,E-commerce,Ahmedabad,Mobile App
TXN01148,CUST0381,Manish Verma,196.48,INR,UPI,2026-03-14 06:08:00,Success,,Regular Customer,0,Regular,,Ride-Hailing,Chennai,Mobile App
TXN01104,CUST0311,Rohan Menon,1107.06,INR,UPI,2026-03-14 08:18:56,Success,,New Customer,0,New,,Travel & Hotels,Bengaluru,Mobile Web
TXN01031,CUST0291,Ananya Kulkarni,595.76,INR,Credit Card,2026-03-14 12:57:59,Success,,Regular Customer,0,New,,Food Delivery,Kolkata,Desktop Web
TXN01274,CUST0282,Imran Patel,343.52,INR,Credit Card,2026-03-14 12:58:10,Success,,Regular Customer,0,Premium,,Food Delivery,Ahmedabad,Desktop Web
TXN00138,CUST0210,Sanjay Patel,4745.32,INR,Debit Card,2026-03-14 15:07:33,Failed,Authentication Failure,Occasional Buyer,0,Regular,1.0,Travel & Hotels,Hyderabad,Mobile App
TXN01180,CUST0064,Deepak Desai,216.85,INR,UPI,2026-03-14 20:23:07,Success,,New Customer,0,New,,Ride-Hailing,Mumbai,Mobile App
TXN01171,CUST0089,Amit Sharma,7421.48,INR,UPI,2026-03-14 23:28:32,Success,,Loyal Customer,0,Premium,,E-commerce,Mumbai,Desktop Web
TXN00829,CUST0096,Nikhil Fernandes,965.93,INR,Credit Card,2026-03-15 00:53:11,Failed,Network Failure,Occasional Buyer,1,Regular,1.0,E-commerce,Lucknow,Mobile App
TXN00502,CUST0127,Priya Gupta,315.97,INR,UPI,2026-03-15 10:29:25,Success,,Regular Customer,0,Premium,,Food Delivery,Mumbai,Mobile App
TXN00185,CUST0110,Shreya Reddy,1307.36,INR,Wallet,2026-03-15 17:52:54,Failed,Network Failure,New Customer,0,New,1.0,E-commerce,Delhi,Mobile Web
TXN01405,CUST0065,Varun Mehta,10835.67,INR,UPI,2026-03-15 18:19:00,Success,,Occasional Buyer,0,Premium,,Travel & Hotels,Lucknow,Mobile Web
TXN00709,CUST0284,Ramesh Khan,195.48,INR,UPI,2026-03-15 22:51:27,Failed,Bank Server Issue,New Customer,1,New,1.0,Ride-Hailing,Mumbai,Mobile App
TXN01351,CUST0205,Radhika Joshi,214.49,INR,UPI,2026-03-15 22:54:32,Success,,Occasional Buyer,0,New,,Food Delivery,Bengaluru,Desktop Web
TXN00290,CUST0322,Rohan Verma,385.4,INR,UPI,2026-03-16 01:30:35,Success,,Regular Customer,0,Regular,,Ride-Hailing,Bengaluru,Mobile App
TXN01409,CUST0153,Divya Nair,421.91,INR,Credit Card,2026-03-16 02:50:44,Success,,New Customer,0,New,,Food Delivery,Pune,Mobile App
TXN00144,CUST0329,Zoya Joshi,9729.53,INR,Netbanking,2026-03-16 03:15:46,Success,,Loyal Customer,0,Premium,,Travel & Hotels,Pune,Mobile Web
TXN00450,CUST0085,Riya Mehta,1672.08,INR,UPI,2026-03-16 03:30:19,Success,,Regular Customer,0,Premium,,SaaS Subscription,Mumbai,Mobile Web
TXN01137,CUST0361,Farhan Patel,3826.65,INR,Wallet,2026-03-16 05:03:31,Failed,Bank Server Issue,Occasional Buyer,0,Regular,1.0,E-commerce,Kolkata,Mobile App
TXN00437,CUST0335,Geeta Agarwal,2979.44,INR,Credit Card,2026-03-17 00:52:29,Success,,Regular Customer,0,Regular,,SaaS Subscription,Delhi,Mobile App
TXN01320,CUST0130,Siddharth Thomas,2619.45,INR,Netbanking,2026-03-17 02:10:29,Success,,Occasional Buyer,0,Regular,,SaaS Subscription,Mumbai,Mobile Web
TXN01296,CUST0418,Harsh Verma,5233.57,INR,Credit Card,2026-03-17 02:11:52,Success,,Regular Customer,0,Regular,,E-commerce,Mumbai,Mobile App
TXN00025,CUST0329,Zoya Joshi,483.88,INR,Credit Card,2026-03-17 04:34:22,Failed,Insufficient Funds,Loyal Customer,0,Premium,1.0,Ride-Hailing,Pune,Desktop Web
TXN00753,CUST0224,Neha Kulkarni,653.58,INR,Wallet,2026-03-17 13:44:38,Success,,Loyal Customer,0,Premium,,Food Delivery,Bengaluru,Mobile App
TXN01094,CUST0205,Radhika Joshi,404.04,INR,UPI,2026-03-17 16:06:56,Success,,Occasional Buyer,0,New,,Food Delivery,Bengaluru,Mobile App
TXN00562,CUST0045,Aditya Reddy,544.75,INR,UPI,2026-03-17 18:27:39,Success,,Regular Customer,0,Premium,,Food Delivery,Bengaluru,Mobile App
TXN01198,CUST0134,Swati Bose,1076.28,INR,Netbanking,2026-03-17 22:00:20,Success,,Loyal Customer,0,New,,E-commerce,Bengaluru,Mobile App
TXN00361,CUST0201,Deepak Joshi,347.46,INR,Netbanking,2026-03-17 23:18:48,Success,,Loyal Customer,0,Regular,,Ride-Hailing,Mumbai,Mobile App
TXN00985,CUST0170,Sneha Iyer,2657.77,INR,UPI,2026-03-18 01:02:46,Success,,Loyal Customer,0,Regular,,E-commerce,Mumbai,Mobile Web
TXN00684,CUST0170,Sneha Iyer,472.63,INR,UPI,2026-03-18 05:19:28,Success,,Loyal Customer,0,Regular,,Food Delivery,Mumbai,Desktop Web
TXN00417,CUST0066,Riya Pillai,233.1,INR,UPI,2026-03-18 08:40:50,Failed,Card Declined,Occasional Buyer,0,Regular,0.0,Ride-Hailing,Pune,Mobile App
TXN00126,CUST0208,Vikram Iyer,369.64,INR,UPI,2026-03-18 09:07:42,Success,,Regular Customer,0,Regular,,Ride-Hailing,Mumbai,Mobile Web
TXN00249,CUST0015,Varun Kapoor,1685.84,INR,Debit Card,2026-03-18 13:22:46,Success,,Regular Customer,0,Regular,,E-commerce,Chennai,Mobile Web
TXN00750,CUST0259,Vivek Bose,221.76,INR,Debit Card,2026-03-18 16:18:29,Success,,Regular Customer,0,Regular,,Food Delivery,Chennai,Mobile App
TXN00160,CUST0339,Shreya Nair,627.19,INR,Debit Card,2026-03-18 17:40:33,Failed,Authentication Failure,New Customer,2,Regular,1.0,Food Delivery,Jaipur,Mobile Web
TXN00613,CUST0178,Harsh Iyer,364.47,INR,Netbanking,2026-03-18 18:19:21,Failed,Authentication Failure,New Customer,0,Regular,1.0,Food Delivery,Delhi,Mobile App
TXN00572,CUST0373,Zoya Chowdhury,14901.35,INR,UPI,2026-03-19 04:00:53,Failed,Network Failure,New Customer,1,Regular,0.0,Travel & Hotels,Hyderabad,Desktop Web
TXN01364,CUST0089,Amit Sharma,2528.38,INR,UPI,2026-03-19 12:39:31,Success,,Loyal Customer,0,Premium,,SaaS Subscription,Mumbai,Desktop Web
TXN01353,CUST0374,Divya Agarwal,2766.35,INR,Netbanking,2026-03-19 23:15:49,Success,,Loyal Customer,0,Premium,,E-commerce,Chennai,Mobile App
TXN00341,CUST0072,Tanvi Singh,3053.12,INR,Netbanking,2026-03-20 01:53:50,Success,,Regular Customer,0,New,,SaaS Subscription,Chennai,Desktop Web
TXN01360,CUST0097,Amit Pillai,166.57,INR,Credit Card,2026-03-20 11:38:09,Success,,Regular Customer,0,Regular,,Ride-Hailing,Bengaluru,Mobile App
TXN00343,CUST0408,Riya Malhotra,483.13,INR,Credit Card,2026-03-20 13:10:42,Success,,Regular Customer,0,New,,E-commerce,Mumbai,Mobile App
TXN01345,CUST0259,Vivek Bose,638.8,INR,UPI,2026-03-20 13:16:45,Failed,Insufficient Funds,Regular Customer,1,Regular,1.0,Food Delivery,Chennai,Mobile Web
TXN00021,CUST0216,Rahul Verma,523.37,INR,UPI,2026-03-20 19:10:45,Success,,Occasional Buyer,0,Regular,,Ride-Hailing,Pune,Mobile App
TXN00940,CUST0318,Rohan Malhotra,1655.01,INR,UPI,2026-03-20 21:20:56,Failed,Authentication Failure,Occasional Buyer,2,New,1.0,SaaS Subscription,Bengaluru,Mobile App
TXN00917,CUST0238,Karthik Fernandes,421.8,INR,Debit Card,2026-03-21 06:07:27,Failed,Card Declined,Regular Customer,0,Premium,1.0,Food Delivery,Kolkata,Desktop Web
TXN00183,CUST0338,Varun Agarwal,2711.45,INR,UPI,2026-03-21 10:48:37,Failed,Authentication Failure,Regular Customer,0,Regular,1.0,SaaS Subscription,Delhi,Mobile Web
TXN01289,CUST0260,Amit Verma,2267.95,INR,Debit Card,2026-03-21 12:07:24,Success,,Regular Customer,0,New,,SaaS Subscription,Pune,Mobile App
TXN00266,CUST0367,Rohan Fernandes,277.28,INR,UPI,2026-03-21 12:30:01,Success,,Regular Customer,0,Regular,,Ride-Hailing,Bengaluru,Mobile Web
TXN00348,CUST0404,Simran Joshi,5826.62,INR,Debit Card,2026-03-21 13:55:38,Success,,Regular Customer,0,Premium,,SaaS Subscription,Ahmedabad,Mobile App
TXN00586,CUST0027,Nikhil Mehta,21286.95,INR,Credit Card,2026-03-21 14:31:00,Success,,Loyal Customer,0,Premium,,Travel & Hotels,Hyderabad,Mobile App
TXN00008,CUST0123,Riya Chowdhury,3770.27,INR,UPI,2026-03-21 16:38:25,Failed,Network Failure,Loyal Customer,1,Regular,1.0,Travel & Hotels,Bengaluru,Mobile App
TXN01109,CUST0222,Maria Mehta,1321.49,INR,Credit Card,2026-03-22 00:45:21,Success,,Regular Customer,0,Premium,,Food Delivery,Hyderabad,Mobile App
TXN00012,CUST0104,Vivek Chowdhury,1084.09,INR,Credit Card,2026-03-22 00:49:48,Success,,Regular Customer,0,New,,E-commerce,Chennai,Mobile Web
TXN00832,CUST0310,Meera Pandey,283.72,INR,UPI,2026-03-22 02:29:43,Failed,Authentication Failure,New Customer,0,New,1.0,Food Delivery,Bengaluru,Mobile Web
TXN01034,CUST0036,Preeti Sharma,1551.7,INR,UPI,2026-03-22 03:51:52,Success,,Regular Customer,0,Regular,,E-commerce,Bengaluru,Desktop Web
TXN00323,CUST0360,Kavya Kapoor,1190.32,INR,UPI,2026-03-22 04:08:03,Failed,Card Declined,New Customer,0,New,1.0,SaaS Subscription,Bengaluru,Mobile App
TXN00511,CUST0301,Tanvi Nair,495.54,INR,Credit Card,2026-03-22 05:27:32,Success,,Loyal Customer,0,Premium,,Food Delivery,Pune,Mobile App
TXN01100,CUST0016,Tanvi Patel,4987.53,INR,UPI,2026-03-22 08:17:45,Success,,Regular Customer,0,Regular,,E-commerce,Kolkata,Mobile Web
TXN00894,CUST0148,Nikhil Bose,1003.36,INR,UPI,2026-03-22 12:36:20,Success,,Occasional Buyer,0,Premium,,Food Delivery,Hyderabad,Mobile App
TXN00137,CUST0008,Rohan Desai,1914.67,INR,UPI,2026-03-22 14:15:32,Success,,Occasional Buyer,0,Regular,,E-commerce,Chennai,Mobile Web
TXN00959,CUST0100,Harsh Menon,380.28,INR,Netbanking,2026-03-22 17:25:42,Failed,Bank Server Issue,New Customer,1,New,0.0,Food Delivery,Pune,Mobile Web
TXN00092,CUST0321,Ayesha Kapoor,5635.38,INR,Wallet,2026-03-22 18:01:28,Success,,Occasional Buyer,0,Premium,,SaaS Subscription,Chennai,Desktop Web
TXN00736,CUST0223,Aditya Mehta,697.02,INR,Debit Card,2026-03-23 00:39:07,Success,,Loyal Customer,0,Premium,,Ride-Hailing,Delhi,Mobile App
TXN01136,CUST0390,Meera Kulkarni,335.83,INR,Credit Card,2026-03-23 04:29:26,Success,,New Customer,0,New,,Food Delivery,Delhi,Mobile Web
TXN00484,CUST0340,Abhishek Kapoor,31170.07,INR,Credit Card,2026-03-23 09:40:46,Success,,Occasional Buyer,0,Premium,,Travel & Hotels,Kolkata,Mobile App
TXN00794,CUST0055,Siddharth Iyer,1390.57,INR,Debit Card,2026-03-23 09:48:45,Success,,Occasional Buyer,0,Regular,,E-commerce,Mumbai,Mobile App
TXN00523,CUST0084,Kavya Pillai,1259.43,INR,Netbanking,2026-03-23 17:50:16,Failed,Insufficient Funds,New Customer,0,New,0.0,SaaS Subscription,Mumbai,Mobile App
TXN00156,CUST0121,Kiran Iyer,4447.21,INR,Netbanking,2026-03-23 20:16:52,Success,,Regular Customer,0,Regular,,SaaS Subscription,Bengaluru,Mobile Web
TXN00090,CUST0146,Kunal Pandey,2793.7,INR,Debit Card,2026-03-23 21:55:33,Failed,Bank Server Issue,Regular Customer,0,Regular,0.0,E-commerce,Pune,Mobile App
TXN00238,CUST0115,Ayesha Pillai,2161.33,INR,Credit Card,2026-03-24 04:53:29,Failed,Insufficient Funds,Occasional Buyer,0,Regular,0.0,SaaS Subscription,Pune,Mobile App
TXN01422,CUST0360,Kavya Kapoor,199.84,INR,Wallet,2026-03-24 07:38:47,Failed,Expired Card,New Customer,1,New,0.0,Ride-Hailing,Bengaluru,Mobile App
TXN00724,CUST0293,Simran Reddy,514.56,INR,Credit Card,2026-03-24 07:52:52,Success,,New Customer,0,Premium,,Ride-Hailing,Pune,Mobile App
TXN01146,CUST0173,Siddharth Gupta,2363.06,INR,UPI,2026-03-24 14:23:29,Success,,New Customer,0,New,,E-commerce,Hyderabad,Mobile App
TXN00360,CUST0075,Thomas Joshi,189.89,INR,UPI,2026-03-24 20:38:26,Failed,Authentication Failure,New Customer,0,New,0.0,Food Delivery,Mumbai,Mobile App
TXN01000,CUST0235,Ananya Verma,1290.64,INR,Credit Card,2026-03-25 02:08:12,Failed,Authentication Failure,Occasional Buyer,0,New,0.0,SaaS Subscription,Chennai,Mobile App
TXN01072,CUST0338,Varun Agarwal,1373.86,INR,UPI,2026-03-25 12:30:33,Success,,Regular Customer,0,Regular,,E-commerce,Delhi,Mobile App
TXN00825,CUST0046,Radhika Mehta,940.0,INR,Wallet,2026-03-25 16:13:12,Failed,Network Failure,New Customer,2,New,1.0,E-commerce,Kolkata,Mobile App
TXN00876,CUST0073,Karthik Fernandes,234.01,INR,Debit Card,2026-03-25 21:15:52,Success,,Regular Customer,0,New,,Food Delivery,Kolkata,Mobile App
TXN00318,CUST0355,Pooja Thomas,306.57,INR,UPI,2026-03-25 23:09:18,Failed,Network Failure,Occasional Buyer,0,Regular,1.0,Food Delivery,Delhi,Mobile App
TXN00679,CUST0226,Siddharth Verma,6788.49,INR,Credit Card,2026-03-25 23:46:08,Success,,Occasional Buyer,0,New,,Travel & Hotels,Ahmedabad,Mobile App
TXN01298,CUST0372,Kunal Kulkarni,665.87,INR,Netbanking,2026-03-26 01:53:38,Success,,New Customer,0,New,,E-commerce,Chennai,Mobile App
TXN01037,CUST0141,Imran Chowdhury,214.91,INR,UPI,2026-03-26 02:43:01,Success,,New Customer,0,New,,Ride-Hailing,Mumbai,Mobile App
TXN01056,CUST0174,Meera Fernandes,833.06,INR,Credit Card,2026-03-26 03:16:23,Success,,Regular Customer,0,Regular,,E-commerce,Chennai,Mobile App
TXN01121,CUST0095,Swati Gupta,16226.66,INR,Netbanking,2026-03-26 08:51:35,Success,,Loyal Customer,0,Regular,,Travel & Hotels,Mumbai,Mobile App
TXN00044,CUST0272,Siddharth Gupta,3416.96,INR,UPI,2026-03-26 17:15:47,Success,,Loyal Customer,0,Premium,,SaaS Subscription,Chennai,Mobile App
TXN01022,CUST0287,Suresh Verma,139.76,INR,Credit Card,2026-03-26 18:45:31,Success,,New Customer,0,New,,Food Delivery,Chennai,Mobile App
TXN00309,CUST0058,Preeti Malhotra,802.46,INR,UPI,2026-03-26 23:03:00,Success,,Regular Customer,0,Regular,,E-commerce,Kolkata,Mobile App
TXN00830,CUST0246,Manish Desai,152.83,INR,Debit Card,2026-03-27 08:40:24,Success,,Loyal Customer,0,Regular,,Ride-Hailing,Hyderabad,Mobile Web
TXN00951,CUST0070,Imran Rao,3909.97,INR,UPI,2026-03-28 02:32:57,Success,,New Customer,0,New,,E-commerce,Kolkata,Mobile App
TXN01448,CUST0195,Sunita Desai,2016.01,INR,UPI,2026-03-28 07:27:40,Success,,Regular Customer,0,Regular,,E-commerce,Kolkata,Desktop Web
TXN01332,CUST0228,Farhan Bhatt,22430.01,INR,Debit Card,2026-03-28 09:29:47,Success,,Regular Customer,0,Regular,,Travel & Hotels,Bengaluru,Mobile App
TXN00918,CUST0084,Kavya Pillai,987.3,INR,Wallet,2026-03-28 11:03:38,Success,,New Customer,0,New,,E-commerce,Mumbai,Mobile App
TXN00615,CUST0231,Ramesh Mehta,979.31,INR,Debit Card,2026-03-28 13:03:23,Success,,Occasional Buyer,0,Regular,,E-commerce,Chennai,Desktop Web
TXN00950,CUST0318,Rohan Malhotra,255.15,INR,Debit Card,2026-03-28 23:11:40,Failed,Insufficient Funds,Occasional Buyer,0,New,0.0,Food Delivery,Bengaluru,Mobile Web
TXN00259,CUST0196,Suresh Rao,9793.67,INR,Netbanking,2026-03-29 00:14:53,Success,,Occasional Buyer,0,Regular,,Travel & Hotels,Bengaluru,Mobile App
TXN00380,CUST0043,Riya Agarwal,344.77,INR,UPI,2026-03-29 02:49:40,Failed,Card Declined,New Customer,1,New,0.0,Food Delivery,Bengaluru,Mobile Web
TXN00063,CUST0015,Varun Kapoor,259.86,INR,UPI,2026-03-29 12:23:58,Success,,Regular Customer,0,Regular,,Ride-Hailing,Chennai,Mobile App
TXN00262,CUST0057,Sneha Pandey,374.49,INR,Credit Card,2026-03-29 14:39:10,Success,,Loyal Customer,0,Regular,,Ride-Hailing,Delhi,Mobile App
TXN00775,CUST0013,Kunal Gupta,1262.5,INR,Credit Card,2026-03-29 19:03:52,Success,,Occasional Buyer,0,Premium,,E-commerce,Chennai,Mobile Web
TXN01182,CUST0132,Swati Bhatt,4373.25,INR,Credit Card,2026-03-29 20:28:20,Success,,Occasional Buyer,0,Premium,,E-commerce,Bengaluru,Mobile Web
TXN00798,CUST0289,Kunal Sharma,182.84,INR,UPI,2026-03-30 10:57:05,Failed,Insufficient Funds,Occasional Buyer,2,New,0.0,Ride-Hailing,Delhi,Mobile App
TXN01293,CUST0302,Ayesha Verma,656.87,INR,UPI,2026-03-30 13:12:46,Success,,Regular Customer,0,Regular,,E-commerce,Bengaluru,Mobile App
TXN00171,CUST0349,Divya Thomas,1063.05,INR,UPI,2026-03-30 13:59:21,Success,,Regular Customer,0,Regular,,E-commerce,Pune,Mobile App
TXN00766,CUST0106,Maria Bose,9530.05,INR,UPI,2026-03-31 00:47:09,Failed,Network Failure,Occasional Buyer,3,New,1.0,Travel & Hotels,Hyderabad,Mobile App
TXN00083,CUST0223,Aditya Mehta,886.23,INR,UPI,2026-03-31 05:25:09,Success,,Loyal Customer,0,Premium,,Food Delivery,Delhi,Mobile Web
TXN01285,CUST0391,Zoya Chowdhury,336.05,INR,Wallet,2026-03-31 19:21:22,Success,,Regular Customer,0,Premium,,Food Delivery,Hyderabad,Mobile App
TXN00644,CUST0166,Vikram Iyer,181.73,INR,Credit Card,2026-03-31 22:26:38,Success,,Occasional Buyer,0,New,,Food Delivery,Pune,Mobile App
TXN00610,CUST0410,Neha Chowdhury,2923.24,INR,Credit Card,2026-04-01 01:27:34,Success,,New Customer,0,New,,SaaS Subscription,Mumbai,Mobile App
TXN01378,CUST0364,Sneha Bose,351.15,INR,Netbanking,2026-04-01 12:38:31,Success,,Regular Customer,0,Regular,,Food Delivery,Ahmedabad,Mobile App
TXN00397,CUST0340,Abhishek Kapoor,3377.77,INR,Debit Card,2026-04-01 12:59:11,Success,,Occasional Buyer,0,Premium,,E-commerce,Kolkata,Mobile Web
TXN00521,CUST0368,Ayesha Sharma,151.84,INR,UPI,2026-04-01 14:57:14,Success,,Occasional Buyer,0,New,,Food Delivery,Delhi,Mobile App
TXN00104,CUST0269,Farhan Desai,2999.75,INR,UPI,2026-04-01 18:54:20,Success,,New Customer,0,New,,Travel & Hotels,Hyderabad,Mobile Web
TXN00251,CUST0106,Maria Bose,1087.33,INR,UPI,2026-04-02 03:28:45,Success,,Occasional Buyer,0,New,,E-commerce,Hyderabad,Mobile App
TXN00726,CUST0320,Kunal Bose,4996.52,INR,UPI,2026-04-02 09:33:11,Failed,Insufficient Funds,New Customer,1,Regular,0.0,Travel & Hotels,Hyderabad,Desktop Web
TXN00499,CUST0088,Zoya Gupta,525.19,INR,Credit Card,2026-04-03 01:03:15,Failed,Authentication Failure,New Customer,0,New,0.0,E-commerce,Bengaluru,Desktop Web
TXN01343,CUST0137,Kunal Pillai,8495.53,INR,Credit Card,2026-04-03 02:56:21,Success,,Regular Customer,0,New,,Travel & Hotels,Hyderabad,Mobile App
TXN00913,CUST0275,Preeti Thomas,2301.02,INR,Netbanking,2026-04-03 05:52:16,Failed,Network Failure,Regular Customer,1,Regular,1.0,SaaS Subscription,Mumbai,Mobile App
TXN01336,CUST0072,Tanvi Singh,564.33,INR,Wallet,2026-04-03 11:09:02,Success,,Regular Customer,0,New,,Food Delivery,Chennai,Mobile Web
TXN00369,CUST0113,Imran Bose,1253.71,INR,Debit Card,2026-04-03 11:11:36,Success,,Regular Customer,0,Regular,,E-commerce,Mumbai,Mobile App
TXN01485,CUST0131,Vikram Chowdhury,2988.11,INR,Credit Card,2026-04-03 14:16:42,Failed,Expired Card,Occasional Buyer,2,Regular,1.0,E-commerce,Delhi,Mobile App
TXN00886,CUST0108,Priya Fernandes,823.65,INR,UPI,2026-04-03 19:49:56,Success,,Loyal Customer,0,Regular,,Food Delivery,Pune,Mobile Web
TXN00607,CUST0401,Varun Agarwal,2521.0,INR,Debit Card,2026-04-04 00:23:40,Success,,Occasional Buyer,0,New,,E-commerce,Pune,Mobile App
TXN00409,CUST0126,Maria Joshi,355.42,INR,UPI,2026-04-04 00:39:04,Success,,Loyal Customer,0,Regular,,Ride-Hailing,Bengaluru,Mobile App
TXN00033,CUST0179,Shreya Pandey,349.68,INR,UPI,2026-04-04 00:55:12,Failed,Bank Server Issue,Occasional Buyer,2,Premium,1.0,Food Delivery,Ahmedabad,Mobile App
TXN00345,CUST0177,Geeta Rao,172.52,INR,Netbanking,2026-04-04 03:47:40,Success,,Occasional Buyer,0,Regular,,Ride-Hailing,Kolkata,Mobile App
TXN00448,CUST0161,Kiran Singh,1611.47,INR,Debit Card,2026-04-04 10:51:35,Failed,Card Declined,New Customer,0,New,0.0,E-commerce,Mumbai,Mobile App
TXN00228,CUST0036,Preeti Sharma,1883.52,INR,Credit Card,2026-04-04 17:07:45,Failed,Insufficient Funds,Regular Customer,2,Regular,0.0,SaaS Subscription,Bengaluru,Mobile App
